Date,Ticker,Close,Volume,High,Low,DailyReturn,LogReturn,CumReturn,^VIX
2018-01-02,AAPL,40.30415725708008,102223600,40.31351816929173,39.60223878716835,,,,9.770000457763672
2018-01-03,AAPL,40.297157287597656,118071600,40.839976206320266,40.23398716613362,-0.00017367859691919119,-0.00017369368079322777,-0.00017367859691919119,9.149999618530273
2018-01-04,AAPL,40.48432922363281,89738400,40.587277867352185,40.262055690225814,0.00464479255197392,0.004634038789521773,0.004470307254001327,9.220000267028809
2018-01-05,AAPL,40.94526290893555,94640000,41.031831750925626,40.48901640769327,0.011385484066107843,0.011321157243277143,0.015906687932120134,9.220000267028809
2018-01-08,AAPL,40.79319381713867,82271200,41.087998510723665,40.69492201579904,-0.0037139605657212638,-0.00372087444114558,0.012133650554687847,9.520000457763672
2018-01-09,AAPL,40.78850555419922,86336000,40.959304811209066,40.57325086464644,-0.00011492757739117732,-0.00011493418207124459,0.012017328486233492,10.079999923706055
2018-01-10,AAPL,40.779144287109375,95839600,40.78148630152458,40.47732074949381,-0.0002295074791942575,-0.0002295338200661224,0.011785062940271818,9.819999694824219
2018-01-11,AAPL,41.01077651977539,74670800,41.05991240789748,40.82593946856962,0.005680164130840604,0.005664092828268029,0.01753216816290548,9.880000114440918
2018-01-12,AAPL,41.434261322021484,101672400,41.497435006670855,41.09733976408248,0.010326183461605298,0.010273232637156805,0.02803939200944061,10.15999984741211
2018-01-16,AAPL,41.223690032958984,118263600,41.97240267540656,41.21199067273534,-0.005082057272023488,-0.005095014844474489,0.022814836941352334,11.65999984741211
2018-01-17,AAPL,41.904563903808594,137547200,41.93965842422295,40.961653040468306,0.016516567786756697,0.016381652809078027,0.03970822752899461,11.90999984741211
2018-01-18,AAPL,41.94198226928711,124773600,42.138522225627405,41.705670917084234,0.0008929424862744728,0.0008925440503018733,0.04063662717868444,12.220000267028809
2018-01-19,AAPL,41.75480651855469,129700400,42.01685503172588,41.509134252385074,-0.004462730195503584,-0.004472717901939108,0.03599254668002705,11.270000457763672
2018-01-22,AAPL,41.4132080078125,108434400,41.59570660494731,41.31962026523079,-0.008181058403189834,-0.008214706907404778,0.0275170311503683,11.029999732971191
2018-01-23,AAPL,41.42256164550781,130756400,41.98409876115503,41.37109089079645,0.00022586122025480826,0.00022583571744939167,0.027749107400856454,11.100000381469727
2018-01-24,AAPL,40.76277160644531,204420400,41.48340879107987,40.52411817455116,-0.015928277075400343,-0.01605649543515281,0.01137883485418012,11.470000267028809
2018-01-25,AAPL,40.03511047363281,166116000,40.93356571913233,39.899405738092184,-0.01785112013083634,-0.018012373291059182,-0.006675410224587175,11.579999923706055
2018-01-26,AAPL,40.128684997558594,156572000,40.243332987250355,39.789425055589945,0.0023373114953038066,0.0023345842316072614,-0.004353701242337138,11.079999923706055
2018-01-29,AAPL,39.298091888427734,202561600,39.812831581035425,39.08985613945785,-0.02069823890768896,-0.02091544993952229,-0.024961826201579496,13.84000015258789
2018-01-30,AAPL,39.06645965576172,184192800,39.16004739790291,38.53534011524448,-0.0058942361202586335,-0.005911675692383156,-0.03070893142421316,14.789999961853027
2018-01-31,AAPL,39.17408752441406,129915600,39.41040247806591,38.95649440447249,0.002754994171489278,0.002751206130805199,-0.028038540179810223,13.539999961853027
2018-02-01,AAPL,39.25597381591797,188923200,39.452510199787405,39.0173204525661,0.00209031777582247,0.0020881361013534564,-0.026006831862933733,13.470000267028809
2018-02-02,AAPL,37.55265426635742,346375200,39.026684400187065,37.45906652490365,-0.0433900724905687,-0.04435956987903247,-0.06826846603371972,17.309999465942383
2018-02-05,AAPL,36.61442184448242,290954000,38.34348150059493,36.499773833727474,-0.024984450239394662,-0.025301859639049677,-0.09154726618057507,37.31999969482422
2018-02-06,AAPL,38.14461135864258,272975200,38.30605327216174,36.03183581681367,0.041791988977991856,0.04094229670252959,-0.05358121954176709,29.979999542236328
2018-02-07,AAPL,37.32804870605469,206434400,38.23118457700955,37.21808468690104,-0.02140702509485337,-0.021639478872330586,-0.07384123012527699,27.729999542236328
2018-02-08,AAPL,36.3008918762207,217562000,37.66963468893804,36.27281627231443,-0.02751702447461113,-0.027902709529255106,-0.0993263636632955,33.459999084472656
2018-02-09,AAPL,36.744911193847656,282690400,37.09260194445449,35.295412891463684,0.012231636598378337,0.012157434593318936,-0.08830965104988497,29.059999465942383
2018-02-12,AAPL,38.224952697753906,243278000,38.502164684443535,37.00333010270935,0.04027881564601676,0.03948876919037523,-0.05158784355827062,25.610000610351562
2018-02-13,AAPL,38.60788345336914,130196800,38.70420433662891,37.975929558630334,0.010017821569148433,0.009967975815463565,-0.04208681980102613,24.969999313354492
2018-02-14,AAPL,39.319705963134766,162579600,39.359643097700136,38.264886694786455,0.018437232142636484,0.018269327041558304,-0.024425552125206473,19.260000228881836
2018-02-15,AAPL,40.63998031616211,204588800,40.66347084065744,39.70262128064272,0.03357793047245061,0.033026501721153824,0.008332218856232698,19.1299991607666
