Date,Ticker,Close,Volume,High,Low,DailyReturn,LogReturn,CumReturn,^VIX,SMA50,SMA200,EMA20,GoldenCross,DeathCross,RSI14,RSI_Overbought,RSI_Oversold,BB_Upper,BB_Mid,BB_Lower,BB_Upper_Breach,BB_Lower_Breach,ZScore,is_statistical_anomaly
2018-01-02,AAPL,40.30415725708008,102223600,40.31351816929173,39.60223878716835,,,,9.770000457763672,,,40.30415725708008,0,1,,0,0,,,,0,0,,0
2018-01-03,AAPL,40.297157287597656,118071600,40.839976206320266,40.23398716613362,-0.0001736785969191,-0.0001736936807932,-0.0001736785969191,9.149999618530272,,,40.30349059331984,0,0,,0,0,,,,0,0,,0
2018-01-04,AAPL,40.48432922363281,89738400,40.587277867352185,40.26205569022581,0.0046447925519739,0.0046340387895217,0.0044703072540013,9.220000267028809,,,40.32071332001632,0,0,,0,0,,,,0,0,,0
2018-01-05,AAPL,40.94526290893555,94640000,41.031831750925626,40.48901640769327,0.0113854840661078,0.0113211572432771,0.0159066879321201,9.220000267028809,,,40.38019423324672,0,0,,0,0,,,,0,0,,0
2018-01-08,AAPL,40.79319381713867,82271200,41.08799851072367,40.69492201579904,-0.0037139605657212,-0.0037208744411455,0.0121336505546878,9.520000457763672,,,40.41952752695071,0,0,,0,0,,,,0,0,,0
2018-01-09,AAPL,40.78850555419922,86336000,40.959304811209066,40.57325086464644,-0.0001149275773911,-0.0001149341820712,0.0120173284862334,10.079999923706056,,,40.45466829145057,0,0,,0,0,,,,0,0,,0
2018-01-10,AAPL,40.779144287109375,95839600,40.78148630152458,40.47732074949381,-0.0002295074791942,-0.0002295338200661,0.0117850629402718,9.81999969482422,,,40.4855707672276,0,0,,0,0,,,,0,0,,0
2018-01-11,AAPL,41.01077651977539,74670800,41.05991240789748,40.82593946856962,0.0056801641308406,0.005664092828268,0.0175321681629054,9.880000114440918,,,40.53559036270834,0,0,,0,0,,,,0,0,,0
2018-01-12,AAPL,41.43426132202149,101672400,41.497435006670855,41.09733976408248,0.0103261834616052,0.0102732326371568,0.0280393920094406,10.15999984741211,,,40.62117807311912,0,0,,0,0,,,,0,0,,0
2018-01-16,AAPL,41.22369003295898,118263600,41.97240267540656,41.21199067273534,-0.0050820572720234,-0.0050950148444744,0.0228148369413523,11.65999984741211,,,40.678560164532435,0,0,,0,0,,,,0,0,,0
2018-01-17,AAPL,41.904563903808594,137547200,41.93965842422295,40.96165304046831,0.0165165677867566,0.016381652809078,0.0397082275289946,11.90999984741211,,,40.79532242541588,0,0,,0,0,,,,0,0,,0
2018-01-18,AAPL,41.94198226928711,124773600,42.138522225627405,41.70567091708424,0.0008929424862744,0.0008925440503018,0.0406366271786844,12.220000267028809,,,40.90452812483219,0,0,,0,0,,,,0,0,,0
