Date,Close,fwd_5d,fwd_10d,fwd_20d,Ticker,IsConfirmed
2018-08-01,47.52029800415039,2.8536036421139777,4.703391085657471,11.048151340421786,AAPL,1
2019-05-13,44.4655647277832,-1.4161170606897588,-4.032941270536716,4.894486547754395,AAPL,1
2020-03-02,72.2002182006836,-10.92328392240992,-18.941785042564383,-14.725056789680945,AAPL,1
2020-06-11,81.38184356689453,4.712708429015011,8.615658129119463,14.224495426545047,AAPL,1
2020-07-31,102.97867584228516,4.7551713001869,8.33303883699208,17.66661695420253,AAPL,1
2022-01-28,166.67434692382812,1.3383569055503086,-0.8660489583152131,-2.935246819375692,AAPL,1
2023-08-04,179.63926696777344,-2.1758897747603645,-3.991620033196752,4.245203726985469,AAPL,1
2024-01-02,183.7313232421875,-0.2693543468424875,-1.5944916940563991,-0.6679834990668598,AAPL,1
2024-05-03,181.7261199951172,-0.044552282725107695,3.6795433063553817,5.951138757521979,AAPL,1
2024-06-11,205.5601959228516,3.4467787142915984,2.9447296990044114,9.857594421090354,AAPL,1
2025-04-03,202.30825805664065,-6.284765501670886,-3.0562567004317476,1.0630559746166668,AAPL,1
2025-04-09,197.98709106445312,-2.3032408852462716,4.787526005215148,-0.6839311854647923,AAPL,1
2025-08-06,212.60302734375,9.540361003741292,6.103866519219769,12.568405196469534,AAPL,1
2026-01-20,246.4693756103516,4.689896380258363,9.233890706379011,7.254706775997954,AAPL,1
2018-10-10,87.76249694824219,4.357220065432199,-5.187293003359239,0.013674448671086026,AMZN,1
2019-12-26,93.4384994506836,0.3317664136476939,0.7700227260646564,-2.1634547276265015,AMZN,1
2020-01-31,100.43599700927734,3.512684677789202,6.280121604208699,-2.7266069482975386,AMZN,1
2021-07-06,183.78700256347656,0.044069303712479524,-2.7899157012669096,-8.42007644048216,AMZN,1
2021-07-30,166.37950134277344,0.5213939630664299,-1.0103406623368838,0.6623442166787452,AMZN,1
2022-02-04,157.63949584960938,-2.7569188917847987,-3.195896026952505,-12.805479243082651,AMZN,1
2022-04-29,124.28150177001952,-7.651181028648246,-9.033123437483203,-7.3502508467709005,AMZN,1
2022-11-10,96.62999725341795,-1.8420768186805492,-3.33229192055543,-7.802960912596557,AMZN,1
2023-08-04,139.57000732421875,-0.8311267473209427,-4.54969246276864,-1.0389139005079318,AMZN,1
2024-02-02,171.80999755859375,1.5365807736235526,-1.3386898809386372,3.358363514610452,AMZN,1
2024-08-02,167.89999389648438,-0.5717638415579596,5.455630729657335,6.31328558001667,AMZN,1
2024-11-01,197.92999267578125,5.178598686046532,2.364476384453984,6.456835502954927,AMZN,1
2025-04-03,178.41000366210938,1.5750224207806252,-3.250940492519938,6.4850579160023125,AMZN,1
2025-04-09,191.1000061035156,-8.775512159521803,-2.386191874275867,0.5128182607216925,AMZN,1
2025-08-01,214.75,3.697323604845759,7.580907464166176,6.635622817229336,AMZN,1
2025-10-31,244.22000122070312,0.07779970537078462,-3.9022187911155415,-4.233885957827965,AMZN,1
2018-10-11,115.77999877929688,0.12091845839048432,0.5355007368448073,0.0,GLD,1
2020-02-28,148.3800048828125,6.18007674025054,-3.4371249061108333,2.60816484016424,GLD,1
2020-08-11,179.94000244140625,4.579298723227576,0.7113475391408164,1.7283542114901795,GLD,1
2020-11-09,175.0800018310547,1.1823121109098222,-1.6278307480632637,0.23988928749874017,GLD,1
2021-01-08,173.33999633789062,-1.274946060786919,0.40960351267296247,-1.04995506165928,GLD,1
2021-06-17,165.85000610351562,0.11455361810395193,0.21102853894869877,2.1465163868439996,GLD,1
2023-10-13,178.8300018310547,2.6617426931152544,4.093268461935762,0.3802452993450389,GLD,1
2024-11-06,245.6999969482422,-3.2844900959154932,-0.4395611902600849,-1.1558796797579318,GLD,1
2025-10-21,377.239990234375,-3.408966621903664,-3.9550374553044,-0.7660863656220207,GLD,1
2025-12-29,398.6000061035156,3.657798883344543,5.777721632376509,24.074257397316124,GLD,1
2026-01-30,444.9500122070313,2.3620584244768095,3.9712287729828155,10.124730094851042,GLD,1
2018-05-29,85.59850311279297,1.8030731489013796,4.021509921015665,-1.0101191962221034,JPM,1
2019-04-12,92.42694854736328,2.1490459640177484,4.4150501234669015,-1.5826047693750955,JPM,1
2020-03-09,79.34065246582031,-5.436653756229481,-15.421693188547192,-3.2645635712580945,JPM,1
2020-03-13,88.23078918457031,-19.64199150752133,-12.299117322487806,-4.522825114535012,JPM,1
2020-11-09,102.2091827392578,0.3421647708603093,0.8297751352155158,4.362703465210482,JPM,1
2022-01-14,142.36289978027344,-8.195569189149499,-5.883817556360493,-3.420092080350312,JPM,1
2023-03-09,121.39937591552734,0.31456645554166496,-2.6852778763578056,-1.4343963908127755,JPM,1
2023-10-27,129.19534301757812,5.387290765761343,7.915073510566861,12.89705875058138,JPM,1
2024-04-12,176.13560485839844,1.6467064701080503,5.853737729921704,8.742281076957447,JPM,1
2024-11-06,240.85198974609372,-2.388080541919768,-2.5418898923220357,-0.639520754442513,JPM,1
2025-02-20,261.43927001953125,-2.9048101972698803,-7.593702556904869,-10.416049461400123,JPM,1
2025-04-03,224.0950164794922,-0.07920311534069802,2.0546440214210815,11.09594655314945,JPM,1
2025-12-09,299.1605834960937,5.004817964980557,8.458940798503,10.238456113062133,JPM,1
2018-10-10,248.1537170410156,0.7725818394414663,-4.664003607697986,0.9738238979494662,SPY,1
2018-12-26,220.7949981689453,-0.8002338075390525,5.1588314902929255,7.961667781961057,SPY,1
2019-08-05,256.91851806640625,1.4974272768285335,2.998358655118727,2.4381300404123785,SPY,1
2020-02-24,294.649169921875,-4.134389994721966,-14.946338004595304,-30.444448633380382,SPY,1
2020-02-27,271.884765625,1.6638455874429692,-16.60450190366727,-11.688365405337453,SPY,1
2020-03-09,250.6099090576172,-12.53690718280006,-18.221567731701448,-2.848909073207695,SPY,1
2020-06-11,276.3331298828125,3.7158068507558983,2.692038904087557,6.113452143616649,SPY,1
2020-09-03,318.8940124511719,-3.280361517118635,-3.884465878285881,-2.9571791773382095,SPY,1
2021-01-27,348.5509948730469,1.9871260053239137,4.18522589203576,2.115351125382281,SPY,1
2024-07-24,530.0756225585938,1.7700548742918487,-4.170138745358387,3.582574945372685,SPY,1
2024-12-18,575.95849609375,2.913949911958924,1.3069246831241665,3.2065794705327333,SPY,1
2025-04-03,530.6171875,-2.258239134115636,-1.9172654191021654,5.600892699391924,SPY,1
2025-04-09,542.4021606445312,-4.185043813142697,-0.35179470663913026,2.996618436257159,SPY,1
2025-10-10,649.32275390625,1.7411470635344983,3.710455906206356,2.748760540015782,SPY,1
2020-01-31,46.70512771606445,-1.0463537744082152,-0.964693911504988,-12.019428480604644,XOM,1
2020-03-09,31.924421310424805,-17.606309056064283,-24.86861460529176,-3.32059135630689,XOM,1
2020-11-09,29.277061462402344,5.8236260304169285,9.151403957311754,17.138113979688875,XOM,1
2022-05-09,73.59651184082031,8.78712586464523,12.303748884821996,23.6429763429874,XOM,1
2025-04-03,108.69530487060548,-11.118031129695428,-4.900830783599364,-5.532329078212128,XOM,1
2025-04-04,100.87403106689452,-1.1500737307231446,0.9680026737739489,-1.0254836704429726,XOM,1
